Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
TCS,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +352 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",78.3k
Accenture,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +182 more,4,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,48.8k
Cognizant,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +179 more,3.9,Skill Development / Learning,Promotions / Appraisal,44.1k
Wipro,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +278 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",41.9k
Capgemini,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +144 more,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",36.1k
HDFC Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1570 more,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,35k
ICICI Bank,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1307 more,4,"Job Security, Skill Development / Learning, Company Culture",,34.6k
Infosys,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +184 more,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",34k
HCLTech,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +185 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",30.6k
Tech Mahindra,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +276 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",28.9k
Genpact,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +120 more,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",27.3k
Teleperformance,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +196 more,3.8,,Promotions / Appraisal,24k
Axis Bank,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1332 more,3.8,Job Security,Promotions / Appraisal,22.8k
Concentrix Corporation,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +119 more,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",22.2k
Amazon,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +457 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,21.9k
Jio,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1184 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.6k
IBM,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +149 more,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,20.2k
Reliance Retail,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1022 more,4,"Skill Development / Learning, Job Security",Promotions / Appraisal,19.9k
HDB Financial Services,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +969 more,4,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.3k
iEnergizer,BPO | 10k-50k Employees | 24 years old | Noida +31 more,4.7,"Skill Development / Learning, Company Culture, Job Security",,17k
Larsen & Toubro Limited,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +630 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,16.6k
BYJU'S,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +308 more,3.1,,"Job Security, Work Life Balance, Company Culture",15.5k
Deloitte,Management Consulting | 1 Lakh+ Employees | 179 years old | London +143 more,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,14.9k
Kotak Mahindra Bank,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +582 more,3.8,Job Security,Promotions / Appraisal,14.5k
Vodafone Idea,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +640 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,14.3k
Reliance Industries,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +699 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,14k
Bharti Airtel,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +672 more,4,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,12.3k
Tata Motors,Automobile | 10k-50k Employees | Public | 79 years old | Pune +440 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,10.6k
WNS,BPO | 10k-50k Employees | 28 years old | Mumbai +40 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10k
Flipkart,Internet | 10k-50k Employees | Public | 17 years old | Bangalore +519 more,4,"Skill Development / Learning, Company Culture, Job Security",,9.7k
IndusInd Bank,Banking | 10k-50k Employees | Public | 30 years old | Gurgaon/Gurugram +697 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",9.5k
Ernst & Young,Management Consulting | 50k-1 Lakh Employees | 22 years old | London +97 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",9.1k
AU Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 28 years old | Jaipur +413 more,4.4,"Skill Development / Learning, Job Security, Company Culture",,9k
DXC Technology,IT Services & Consulting | 10k-50k Employees | Public | 7 years old | Minato +97 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",8.9k
IDFC FIRST Bank,Banking | 10k-50k Employees | Public | 6 years old | Mumbai +596 more,4,"Salary & Benefits, Skill Development / Learning, Job Security",,8.9k
Mahindra & Mahindra,Automobile | 1 Lakh+ Employees | Public | 79 years old | Mumbai +484 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.8k
LTIMindtree,IT Services & Consulting | 50k-1 Lakh Employees | Public | 27 years old | Bangalore / Bengaluru +56 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",8.7k
Infosys BPM,BPO | 10k-50k Employees | 22 years old | Bangalore/Bengaluru +67 more,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.5k
Conneqt Business Solutions,BPO | 10k-50k Employees | 22 years old | Mumbai +227 more,3.7,,"Promotions / Appraisal, Salary & Benefits",8k
Bajaj Finserv,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +917 more,4,"Salary & Benefits, Skill Development / Learning, Job Security",,8k
HDFC Life,Insurance | 10k-50k Employees | Public | 24 years old | Kolkata +570 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,7.9k
PwC,Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | Kolkata +97 more,3.5,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",7.7k
Mphasis,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Kolkata +54 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.3k
HSBC Group,Banking | 10k-50k Employees | Forbes Global 2000 | 159 years old | Kolkata +59 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6.9k
Yes Bank,Banking | 10k-50k Employees | Public | 20 years old | Kolkata +462 more,3.9,"Salary & Benefits, Work Life Balance",,6.7k
Maruti Suzuki,Automobile | 10k-50k Employees | Public | 43 years old | Kolkata +387 more,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",,6.7k
Startek,BPO | 10k-50k Employees | Public | 7 years old | Kolkata +73 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.7k
Samsung,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 55 years old | Kolkata +509 more,4.1,"Salary & Benefits, Job Security, Work Life Balance",,6.6k
Asian Paints,Chemicals | 5k-10k Employees | Public | 82 years old | Kolkata +455 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.6k
Hinduja Global Solutions,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Kolkata +106 more,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.6k
Ericsson,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Kolkata +151 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,6.5k
Paytm,FinTech | 10k-50k Employees | Public | 14 years old | Kolkata +331 more,3.3,,"Job Security, Promotions / Appraisal, Company Culture",6.5k
Shriram Finance,NBFC | 50k-1 Lakh Employees | Public | 45 years old | Kolkata +969 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,6.4k
Bandhan Bank,Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +791 more,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction",6.4k
Tata Steel,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Kolkata +185 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,6.3k
EXL Service,Analytics & KPO | 10k-50k Employees | 25 years old | Kolkata +46 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",6.2k
Cipla,Pharma | 10k-50k Employees | Public | 89 years old | Kolkata +241 more,4.1,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,6.2k
Dr. Reddy's,Pharma | 10k-50k Employees | Public | 40 years old | Kolkata +171 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,6.1k
NTT DATA,IT Services & Consulting | 10k-50k Employees | 11 years old | Kolkata +61 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6.1k
Sutherland Global Services,IT Services & Consulting | 10k-50k Employees | 38 years old | Kolkata +56 more,3.7,,"Promotions / Appraisal, Salary & Benefits",6.1k
UltraTech Cement,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +441 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,6.1k
Quess,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +553 more,4,Work Life Balance,Promotions / Appraisal,5.8k
Bajaj Finance,NBFC | 10k-50k Employees | 37 years old | Pune +781 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,5.8k
ICICI Prudential Life Insurance,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +455 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.6k
Jana Small Finance Bank,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +357 more,3.8,,,5.6k
Amazon Development Centre India,Internet | 10k-50k Employees | Hyderabad / Secunderabad +88 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,5.6k
Lupin,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +171 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,5.5k
Wells Fargo,Financial Services | 10k-50k Employees | Public | 172 years old | San Francisco +21 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,5.5k
Zydus Lifesciences,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +157 more,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",,5.5k
Delhivery,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +638 more,3.9,Skill Development / Learning,Promotions / Appraisal,5.4k
L&T Infotech,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +88 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k
JPMorgan Chase & Co.,Financial Services | 50k-1 Lakh Employees | Public | 56 years old | New York +33 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,5.3k
L&T Construction,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +366 more,4,"Job Security, Skill Development / Learning, Salary & Benefits",,5.3k
HCL Group,IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +77 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",5.1k
FIS,FinTech | 10k-50k Employees | 56 years old | Jacksonville +46 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,5.1k
ITC,FMCG | 10k-50k Employees | Public | 114 years old | Kolkata +310 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,5k
Hexaware Technologies,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Navi Mumbai +47 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5k
Sun Pharmaceutical Industries,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +209 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,5k
Hindustan Unilever,FMCG | 10k-50k Employees | Public | 152 years old | London +443 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,5k
Indian Army,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +330 more,4.7,"Job Security, Work Satisfaction, Skill Development / Learning",,5k
JSW Steel,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +152 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,5k
Udaan,1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +340 more,4,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.9k
IIFL Finance,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +688 more,4,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,4.8k
KPMG India,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +79 more,3.6,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",4.7k
Ujjivan Small Finance Bank,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +450 more,4.1,"Company Culture, Job Security, Work Life Balance",,4.7k
Max Life Insurance,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +406 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,4.7k
Oracle,Emerging Technologies | 50k-1 Lakh Employees | Public | 47 years old | Austin +49 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.6k
Tata Projects,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +240 more,4.3,"Job Security, Company Culture, Salary & Benefits",,4.5k
Muthoot Finance,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +654 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",4.4k
eClerx,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +19 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.4k
Megha Engineering & Infrastructures,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +306 more,4,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.4k
Aurobindo Pharma,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +95 more,4,"Job Security, Salary & Benefits, Work Life Balance",,4.3k
Omega Healthcare,Healthcare | 10k-50k Employees | 21 years old | Florida +51 more,3.8,,"Promotions / Appraisal, Salary & Benefits",4.3k
Shapoorji Pallonji Group,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +170 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,4.3k
Ekart Logistics,Logistics | 1k-5k Employees | 15 years old | San Francisco +613 more,4,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,4.3k
JLL,Real Estate | 10k-50k Employees | Forbes Global 2000 | 25 years old | Mumbai +70 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,4.2k
Siemens,Industrial Automation | 5k-10k Employees | Public | 177 years old | Munich +134 more,4.2,"Job Security, Company Culture, Work Life Balance",,4.2k
Ashok Leyland,Automobile | 5k-10k Employees | Public | 76 years old | Jabalpur +219 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.2k
Bajaj Allianz Life Insurance,Insurance | 10k-50k Employees | 23 years old | Jabalpur +510 more,4.1,"Salary & Benefits, Work Life Balance, Company Culture",,4.2k
Home Credit Finance,Financial Services | 10k-50k Employees | 12 years old | Jabalpur +117 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.1k
First Source,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +55 more,3.8,,"Promotions / Appraisal, Salary & Benefits",4.1k
JustDial,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +184 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",4.1k
Apollo Hospitals,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +190 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,4.1k
Indiamart Intermesh,Internet | 5k-10k Employees | Public | 28 years old | Noida +147 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",4.1k
Coforge,IT Services & Consulting | 10k-50k Employees | Public | 20 years old | Noida +87 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.1k
Vivo,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +379 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.1k
Virtusa Consulting Services,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +41 more,3.8,,Promotions / Appraisal,4.1k
Standard Chartered,Banking | 10k-50k Employees | Fortune India 500 | 171 years old | London +58 more,3.9,Job Security,Promotions / Appraisal,4.1k
Hero MotoCorp,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +319 more,4.2,"Work Life Balance, Company Culture, Job Security",,4k
BigBasket,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +115 more,4,"Job Security, Skill Development / Learning",Promotions / Appraisal,4k
DMart,Retail | 10k-50k Employees | Fortune India 500 | 22 years old | Mumbai +213 more,4,"Job Security, Company Culture",Promotions / Appraisal,4k
ICICI Lombard General Insurance Company,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +264 more,3.8,,"Promotions / Appraisal, Work Satisfaction",4k
Cyient,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +35 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",4k
Mahindra Finance,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +640 more,4.3,"Company Culture, Job Security, Work Life Balance",,4k
CGI Group,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 48 years old | Montreal +32 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9k
L&T Technology Services,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +53 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.9k
GlobalLogic,IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +37 more,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.9k
OPPO,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +364 more,4,Skill Development / Learning,Promotions / Appraisal,3.8k
Equitas Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +372 more,4.3,"Job Security, Company Culture, Work Life Balance",,3.8k
Nagarro,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +42 more,4.1,"Work Life Balance, Company Culture, Salary & Benefits",,3.8k
UST,IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +36 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",3.8k
Bosch Global Software Technologies,Software Product | 10k-50k Employees | 27 years old | Gerlingen +31 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.8k
TVS Motor,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +282 more,4,"Skill Development / Learning, Salary & Benefits, Job Security",,3.7k
Manappuram Finance,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +525 more,4,"Promotions / Appraisal, Skill Development / Learning",,3.7k
Cholamandalam Investment & Finance,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +660 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.7k
Atos Syntel,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +26 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7k
SBI Cards & Payment Services,Financial Services | 1k-5k Employees | 26 years old | Gurgaon/Gurugram +357 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Company Culture",3.7k
IQVIA,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +45 more,4,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.6k
SMFG India Credit,NBFC | 10k-50k Employees | 17 years old | Mumbai +496 more,4.1,"Salary & Benefits, Job Security, Company Culture",,3.6k
BNY,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 240 years old | New York City +16 more,4,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,3.6k
Swiggy,Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Bangalore +194 more,3.8,,"Job Security, Promotions / Appraisal",3.6k
Schneider Electric,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +118 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,3.6k
Optum,Healthcare | 10k-50k Employees | 47 years old | Prairie +32 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.6k
Amdocs,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +14 more,4,"Company Culture, Job Security",Promotions / Appraisal,3.5k
Hewlett Packard Enterprise,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +91 more,4.2,"Company Culture, Work Life Balance, Job Security",,3.5k
Bosch,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +105 more,4.3,"Company Culture, Work Life Balance, Job Security",,3.5k
CBRE,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +76 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,3.5k
State Bank of India,Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +506 more,3.8,Job Security,Work Life Balance,3.4k
Hyundai Motor India Limited,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +270 more,4.4,"Job Security, Salary & Benefits, Work Satisfaction",,3.4k
Dell,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Round Rock +101 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,3.4k
Oyo Rooms,Hospitality | 1k-5k Employees | Indian Unicorn | 12 years old | Gurgaon +116 more,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4k
JBM Group,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +88 more,4,"Job Security, Skill Development / Learning",,3.4k
SBI Life Insurance Company,Insurance | 10k-50k Employees | 23 years old | Mumbai +541 more,3.9,Job Security,Promotions / Appraisal,3.4k
Ecom Express,Logistics | 10k-50k Employees | 12 years old | Gurgaon +640 more,4,Skill Development / Learning,,3.3k
BT Group,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,3.3k
Reliance Communications,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +430 more,4,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,3.3k
Bajaj Auto,Automobile | 5k-10k Employees | Public | 79 years old | Pune +265 more,3.9,,Promotions / Appraisal,3.3k
Persistent Systems,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Pune +34 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.3k
KEC International,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +265 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.3k
Nagarjuna Construction Company,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +228 more,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",,3.2k
Marpu Foundation,Non-Profit | 51-200 Employees | 8 years old | Hyderabad/Secunderabad +60 more,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,3.2k
